doc_id,model,bin,draw_reason,ngram,aligned_p,cer_lenient,tier,script_bucket,failure_mode,judged,judged_halluc_severe,judged_halluc_any,judged_canonical,overall_quality,image_url
Cambridge_CUL_T_S_12_3,claude_opus_4_8,"[0,0.05)",canonical_completion,0.0261,0.0904,0.6765,A,judaeo_arabic,loop_collapse,True,True,True,True,good,https://storage.googleapis.com/cairo-genizah-es-json/images/3153_image.jpg
Oxford_Bodleian_MS_heb_b_11_7,claude_opus_4_8,"[0,0.05)",bin_quota,0.0,0.1439,0.9533,A,judaeo_arabic,abstained,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/519_image.jpg
Cambridge_CUL_T_S_20_162,claude_sonnet_5,"[0,0.05)",bin_quota,0.0,0.6,0.9942,B,judaeo_arabic,abstained,True,False,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/1784_image.jpg
Manchester_JRL_A_960,claude_sonnet_5,"[0,0.05)",canonical_completion,0.0143,0.5789,0.1324,A,aramaic,hallucinated,True,False,True,True,fair,https://storage.googleapis.com/cairo-genizah-es-json/images/28375_image.jpg
Oxford_Bodleian_MS_heb_d_66_32,claude_sonnet_5,"[0,0.05)",bin_quota,0.0289,0.3763,0.7101,A,untagged,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/2543_image.jpg
Cambridge_CUL_T_S_13J14_7,gemini_flash,"[0,0.05)",canonical_completion,0.0364,0.098,0.8147,A,judaeo_arabic,hallucinated,True,True,True,True,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/3238_image.jpg
Cambridge_CUL_T_S_24_13,gemini_flash,"[0,0.05)",canonical_completion,0.0,0.1065,0.8261,A,untagged,hallucinated,True,True,True,True,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/7558_image.jpg
Cambridge_CUL_T_S_10J21_1,gpt_5_6_sol,"[0,0.05)",canonical_completion,0.0414,0.3901,0.8459,A,judaeo_arabic,hallucinated,True,True,True,True,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/2954_image.jpg
Cambridge_CUL_T_S_13J23_7,gpt_5_6_sol,"[0,0.05)",canonical_completion,0.0103,0.2397,0.7266,A,hebrew,hallucinated,True,True,True,True,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/3355_image.jpg
Oxford_Bodleian_MS_heb_a_3_32,qwen3_vl_8b,"[0,0.05)",bin_quota,0.0,0.0,1.0,B,untagged,abstained,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/504_image.jpg
Oxford_Bodleian_MS_heb_d_74_40,qwen3_vl_8b,"[0,0.05)",bin_quota,0.0,0.0098,4.5871,A,judaeo_arabic,loop_collapse,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/2565_image.jpg
Cambridge_CUL_T_S_10J24_3,qwen3_vl_8b_heb_v16_step1100,"[0,0.05)",bin_quota,0.0498,0.0265,15.1078,B,hebrew,loop_collapse,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/3991_image.jpg
Cambridge_CUL_T_S_13J2_6,qwen3_vl_8b_heb_v16_step1100,"[0,0.05)",bin_quota,0.0181,0.3837,0.7444,B,judaeo_arabic,hallucinated,True,True,True,True,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/7960_image.jpg
Oxford_Bodleian_MS_heb_d_68_101,qwen3_vl_8b_heb_v16_step1100,"[0,0.05)",bin_quota,0.0455,0.5122,0.5386,A,judaeo_arabic,hallucinated,True,True,True,True,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/589_image.jpg
New_York_JTS_ENA_2557_1,qwen3_vl_8b_heb_v17_step800,"[0,0.05)",bin_quota,0.0182,0.0051,8.1086,B,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/657_image.jpg
Cambridge_CUL_T_S_NS_184_57,vision_ocr_seg,"[0,0.05)",bin_quota,0.0,0.4062,0.9447,B,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/4229_image.jpg
Cambridge_CUL_T_S_16_149,claude_opus_4_8,"[0.05,0.10)",bin_quota,0.0606,0.5943,0.5292,B,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/5287_image.jpg
Cambridge_CUL_T_S_16_208,claude_opus_4_8,"[0.05,0.10)",bin_quota,0.0604,0.1554,0.6841,B,untagged,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/3448_image.jpg
Cambridge_CUL_T_S_18J1_32,claude_opus_4_8,"[0.05,0.10)",bin_quota,0.0541,0.3957,0.4875,A,judaeo_arabic,hallucinated,True,False,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/3519_image.jpg
Oxford_Bodleian_MS_heb_d_79_36,claude_opus_4_8,"[0.05,0.10)",bin_quota,0.0622,0.4725,0.6625,B,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/2577_image.jpg
Cambridge_CUL_T_S_10J24_3,claude_sonnet_5,"[0.05,0.10)",bin_quota,0.0581,0.5196,0.5167,B,hebrew,hallucinated,True,False,False,False,poor,https://storage.googleapis.com/cairo-genizah-es-json/images/3991_image.jpg
Cambridge_CUL_T_S_10J4_12,claude_sonnet_5,"[0.05,0.10)",bin_quota,0.0962,0.7301,0.396,A,untagged,hallucinated,True,True,True,False,poor,https://storage.googleapis.com/cairo-genizah-es-json/images/3015_image.jpg
Cambridge_CUL_T_S_16_106,claude_sonnet_5,"[0.05,0.10)",bin_quota,0.0617,0.4693,0.827,B,hebrew,hallucinated,True,False,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/7396_image.jpg
Cambridge_CUL_T_S_16_256,claude_sonnet_5,"[0.05,0.10)",bin_quota,0.0579,0.6468,0.4645,A,judaeo_arabic,hallucinated,True,True,True,False,poor,https://storage.googleapis.com/cairo-genizah-es-json/images/3473_image.jpg
Cambridge_CUL_T_S_10J13_11,gemini_flash,"[0.05,0.10)",bin_quota,0.0799,0.4947,0.5528,A,judaeo_arabic,hallucinated,True,True,True,False,poor,https://storage.googleapis.com/cairo-genizah-es-json/images/1501_image.jpg
Cambridge_CUL_T_S_8J8_22,gemini_flash,"[0.05,0.10)",bin_quota,0.0678,0.1905,0.8057,B,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/2212_image.jpg
Cambridge_CUL_T_S_Misc_8_103,gemini_flash,"[0.05,0.10)",bin_quota,0.0584,0.1192,0.7652,B,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/4219_image.jpg
Cambridge_CUL_T_S_10J9_8,gemini_pro,"[0.05,0.10)",bin_quota,0.0777,0.3359,0.6981,B,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/1573_image.jpg
Cambridge_CUL_T_S_13J2_9,gemini_pro,"[0.05,0.10)",bin_quota,0.0954,0.4629,0.5177,B,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/7961_image.jpg
Cambridge_CUL_T_S_16_232,gemini_pro,"[0.05,0.10)",bin_quota,0.0766,0.5479,0.5136,B,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/3460_image.jpg
Cambridge_CUL_T_S_6J3_2,gemini_pro,"[0.05,0.10)",bin_quota,0.0723,0.1013,0.6742,B,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/3622_image.jpg
Cambridge_CUL_T_S_Misc_8_103,gemini_pro,"[0.05,0.10)",bin_quota,0.0522,0.3946,0.9456,B,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/4219_image.jpg
Cambridge_CUL_T_S_NS_184_57,gemini_pro,"[0.05,0.10)",bin_quota,0.0781,0.4453,0.556,B,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/4229_image.jpg
New_York_JTS_ENA_NS_18_25,gemini_pro,"[0.05,0.10)",bin_quota,0.0588,0.1886,0.6966,B,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/2436_image.jpg
Cambridge_CUL_T_S_16_110,kraken_raw,"[0.05,0.10)",bin_quota,0.0839,0.1032,0.6378,B,untagged,hallucinated,False,False,False,False,,https://storage.googleapis.com/cairo-genizah-es-json/images/7399_image.jpg
Cambridge_CUL_T_S_13J17_9,kraken_seg,"[0.05,0.10)",bin_quota,0.0851,0.4737,0.8017,B,hebrew,hallucinated,True,False,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/3269_image.jpg
Cambridge_CUL_T_S_16_110,kraken_seg,"[0.05,0.10)",bin_quota,0.0851,0.6325,0.6001,B,untagged,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/7399_image.jpg
Cambridge_CUL_Or_1080_J262,qwen3_vl_8b,"[0.05,0.10)",bin_quota,0.0776,0.6397,0.4629,A,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/4008_image.jpg
Cambridge_CUL_T_S_13J35_1,qwen3_vl_8b_heb_v16_step1100,"[0.05,0.10)",bin_quota,0.0667,0.007,4.3457,B,hebrew,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/1133_image.jpg
Cambridge_CUL_T_S_20_28,qwen3_vl_8b_heb_v16_step1100,"[0.05,0.10)",bin_quota,0.0526,0.0032,8.3069,B,judaeo_arabic,hallucinated,True,True,True,False,unusable,https://storage.googleapis.com/cairo-genizah-es-json/images/3551_image.jpg
Cambridge_CUL_T_S_10J14_13,qwen3_vl_8b_heb_v17_step800,"[0.05,0.10)",bin_quota,0.0755,0.5762,0.4815,B,judaeo_arabic,hallucinated,True,True,True,False,poor,https://storage.googleapis.com/cairo-genizah-es-json/images/2843_image.jpg
Cambridge_CUL_T_S_13J23_4,qwen3_vl_8b_heb_v17_step800,"[0.05,0.10)",bin_quota,0.0816,0.4635,0.4964,B,judaeo_arabic,hallucinated,True,True,True,False,poor,https://storage.googleapis.com/cairo-genizah-es-json/images/1067_image.jpg
