model,section,n_pages,coverage_pct,cer_strict_mean,cer_strict_median,cer_lenient_mean,pct_gt_0.3,pct_gt_1.0,source_runs
claude_opus_4_8,gemara,65,1.0,0.7061,0.2916,0.4549,0.4923,0.2462,talmud-20260713-133127;talmud-fill-claude-37pages
claude_opus_4_8,rashi,65,1.0,0.7184,0.7811,0.6665,0.9385,0.0154,talmud-20260713-133127;talmud-fill-claude-37pages
claude_opus_4_8,tosafot,63,1.0,0.7864,0.8382,0.7741,0.9524,0.0,talmud-20260713-133127;talmud-fill-claude-37pages
claude_sonnet_5,gemara,65,1.0,0.63,0.3984,0.581,0.6769,0.1692,talmud-20260713-133127;talmud-fill-claude-37pages
claude_sonnet_5,rashi,65,1.0,0.7791,0.7927,0.7779,1.0,0.0,talmud-20260713-133127;talmud-fill-claude-37pages
claude_sonnet_5,tosafot,63,1.0,0.8355,0.8219,0.8354,1.0,0.0159,talmud-20260713-133127;talmud-fill-claude-37pages
gemini_flash,gemara,64,0.9846,0.1546,0.0356,0.1442,0.1562,0.0156,talmud-20260713-133127;talmud-fill-flash-postcap;talmud-fill-gemini-part1;talmud-fill-gemini-remaining
gemini_flash,rashi,65,1.0,0.5942,0.718,0.5912,0.8,0.0154,talmud-20260713-133127;talmud-fill-flash-postcap;talmud-fill-gemini-part1;talmud-fill-gemini-remaining
gemini_flash,tosafot,63,1.0,0.783,0.7709,0.7751,0.9365,0.0794,talmud-20260713-133127;talmud-fill-flash-postcap;talmud-fill-gemini-part1;talmud-fill-gemini-remaining
gemini_pro,gemara,19,0.2923,0.0151,0.0141,0.0151,0.0,0.0,talmud-20260713-133127;talmud-fill-gemini-part1;talmud-fill-gemini-remaining
gemini_pro,rashi,9,0.1385,0.2994,0.1094,0.2984,0.4444,0.0,talmud-20260713-133127;talmud-fill-gemini-remaining
gemini_pro,tosafot,12,0.1905,0.1547,0.0761,0.1547,0.0833,0.0833,talmud-20260713-133127;talmud-fill-gemini-part1;talmud-fill-gemini-remaining
gpt_5_2,gemara,65,1.0,0.8802,0.9066,0.8569,1.0,0.0462,talmud-fill-gpt52-v17-v16step1100
gpt_5_2,rashi,65,1.0,0.9329,0.9485,0.9329,1.0,0.0154,talmud-fill-gpt52-v17-v16step1100
gpt_5_2,tosafot,63,1.0,1.2515,0.9576,1.2515,1.0,0.0476,talmud-fill-gpt52-v17-v16step1100
gpt_5_6_sol,gemara,20,0.3077,0.376,0.1563,0.376,0.4,0.15,talmud-sol-sample10;talmud-sol-sample11-20
gpt_5_6_sol,rashi,20,0.3077,0.9466,0.8845,0.9119,1.0,0.4,talmud-sol-sample10;talmud-sol-sample11-20
gpt_5_6_sol,tosafot,19,0.3016,0.7851,0.6839,0.7851,0.7895,0.1579,talmud-sol-sample10;talmud-sol-sample11-20
kraken_seg,gemara,65,1.0,0.0806,0.0404,0.0806,0.0308,0.0,talmud-kraken-reseg-20260821
kraken_seg,rashi,65,1.0,0.3916,0.2898,0.3916,0.4923,0.0,talmud-kraken-reseg-20260821
kraken_seg,tosafot,63,1.0,0.2885,0.2289,0.2885,0.3492,0.0,talmud-kraken-reseg-20260821
qwen3_vl_8b,gemara,65,1.0,5.0846,3.6274,4.1015,1.0,1.0,talmud-v15-before-after
qwen3_vl_8b,rashi,65,1.0,4.4541,3.3893,3.4348,1.0,1.0,talmud-v15-before-after
qwen3_vl_8b,tosafot,63,1.0,6.1061,3.7427,5.2717,1.0,0.9524,talmud-v15-before-after
qwen3_vl_8b_heb_rashi_v15,gemara,65,1.0,0.0586,0.0477,0.0586,0.0154,0.0,talmud-v15-before-after
qwen3_vl_8b_heb_rashi_v15,rashi,65,1.0,0.3618,0.1439,0.3618,0.2,0.0615,talmud-v15-before-after
qwen3_vl_8b_heb_rashi_v15,tosafot,63,1.0,0.5122,0.1296,0.5122,0.2222,0.0635,talmud-v15-before-after
qwen3_vl_8b_heb_v16_step1000,gemara,65,1.0,0.0902,0.0046,0.0902,0.0308,0.0154,talmud-v16-step1000
qwen3_vl_8b_heb_v16_step1000,rashi,65,1.0,0.0471,0.0136,0.047,0.0462,0.0154,talmud-v16-step1000
qwen3_vl_8b_heb_v16_step1000,tosafot,63,1.0,0.099,0.0133,0.099,0.1111,0.0,talmud-v16-step1000
qwen3_vl_8b_heb_v16_step1100,gemara,65,1.0,0.013,0.0038,0.013,0.0154,0.0,talmud-fill-gpt52-v17-v16step1100
